ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
310,50750,Belfort,2,5,120,120,120,2011,7.32685,4988,12,"City Building, Economic, Fantasy","Jay Cormier, Sen-Foong Lim",3.0431
311,167400,Ashes: Rise of the Phoenixborn,2,4,120,120,120,2015,7.62153,3032,14,"Card Game, Dice, Fantasy, Fighting",Isaac Vega,2.8667
315,176734,The Manhattan Project: Energy Empire,1,5,120,120,120,2016,7.98807,1574,13,"Civilization, Dice, Economic, Environmental, Industry / Manufacturing","Tom Jolly, Luke Laurie",3.1373
316,151347,Millennium Blades,2,5,120,120,120,2016,7.99798,1677,12,"Card Game, Real-time","D. Brad Talton, Jr.",3.6066
317,24800,Conflict of Heroes: Awakening the Bear! ? Russia 1941-42,1,4,120,120,120,2008,7.56547,2821,10,"Wargame, World War II",Uwe Eickert,2.9957
337,128780,Pax Porfiriana,1,6,120,120,120,2012,7.70681,1981,12,"Card Game, Civil War, Economic, Political, Post-Napoleonic, Wargame","Phil Eklund, Matt Eklund, Jim Gutt",3.4556
346,9823,Advanced Squad Leader: Starter Kit #1,2,2,120,120,120,2004,7.77749,1955,13,"Wargame, World War II",Ken Dunn,3.7242
365,30380,Cuba,2,5,120,30,120,2007,7.17665,6989,10,"Economic, Farming","Michael Rieneck, Stefan Stadler",3.2745
373,200680,Agricola (revised edition),1,4,120,120,120,2016,8.40513,1057,12,"Animals, Economic, Farming",Uwe Rosenberg,3.3333
380,160495,ZhanGuo,2,4,120,120,120,2014,7.67997,1894,12,"Ancient, Card Game","Marco Canetta, Stefania Niccolini",3.7674
384,65901,Age of Industry,2,5,120,120,120,2010,7.4646,2610,13,"Economic, Industry / Manufacturing, Transportation",Martin Wallace,3.3693
386,41002,Vasco da Gama,2,4,120,120,120,2009,7.31079,3731,12,"Nautical, Renaissance",Paolo Mori,3.2429
407,160010,Conan,2,5,120,120,120,2016,8.06949,1668,14,"Adventure, Fantasy, Fighting, Miniatures, Novel-based","Fr_d_ric Henry, Antoine Bauza, Pascal Bernard, Bruno Cathala, Croc, Ludovic Maublanc, Laurent Pouchain",2.8358
408,174785,Mare Nostrum: Empires,3,5,120,120,120,2016,7.78388,1681,14,"Ancient, Civilization, Economic",Serge Laget,3.0299
409,43528,World Without End,2,4,120,120,120,2009,7.29117,3691,12,"Economic, Medieval, Novel-based, Religious","Michael Rieneck, Stefan Stadler",2.8165
423,132028,Conflict of Heroes: Awakening the Bear! (second edition),1,4,120,120,120,2012,8.13322,1157,13,"Wargame, World War II",Uwe Eickert,3.3173
431,12962,Reef Encounter,2,4,120,120,120,2004,7.17088,4606,10,"Animals, Environmental, Territory Building",Richard Breese,3.6753
440,1345,Genoa,2,5,120,30,120,2001,7.1446,5464,12,"Negotiation, Renaissance",RÌªdiger Dorn,3.0862
441,69779,Polis: Fight for the Hegemony,2,2,120,120,120,2012,7.78545,1512,12,"Ancient, Civilization, Economic, Fighting, Territory Building",Fran Diaz,3.6
452,98351,Core Worlds,2,5,120,120,120,2011,7.2532,3328,10,"Card Game, Civilization, Science Fiction, Space Exploration",Andrew Parks,2.8856
453,148319,Tragedy Looper,2,4,120,120,120,2011,7.3781,2670,13,"Bluffing, Deduction, Murder/Mystery",BakaFire,3.4444
467,45986,Stronghold,2,4,120,120,120,2009,7.26592,3119,10,"Fantasy, Fighting, Medieval",Ignacy Trzewiczek,3.678
469,939,Star Wars: The Queen's Gambit,2,4,120,120,120,2000,7.55671,1886,12,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Rob Daviau, Alan Roach, Craig Van Ness",2.5
484,72225,CO?,1,5,120,120,120,2012,7.2641,2963,12,"Economic, Environmental, Industry / Manufacturing",Vital Lacerda,3.8817
490,19600,Antike,2,6,120,120,120,2005,7.13295,4310,12,"Ancient, Civilization, Fighting, Nautical, Territory Building",Mac Gerdts,3.0228
494,554,La CittÌ_,2,5,120,120,120,2000,7.097,4657,12,"City Building, Civilization, Renaissance, Territory Building",Gerd Fenchel,3.2729
498,38823,Conflict of Heroes: Storms of Steel! ? Kursk 1943,1,4,120,120,120,2009,7.78469,1352,12,"Wargame, World War II","Uwe Eickert, John Hill (I), Dana Lombardy",3.1258
499,67492,Battles of Westeros,2,2,120,120,120,2010,7.38745,2394,12,"Fantasy, Fighting, Medieval, Novel-based, Wargame",Robert A. Kouba,3.1836
508,22825,Tide of Iron,2,4,120,120,120,2007,7.25191,3460,12,"Wargame, World War II","John Goodenough, Corey Konieczka, Christian T. Petersen",3.4593
523,173,Formula D_,2,10,120,30,120,1991,6.99114,7099,10,"Racing, Sports","Laurent Lavaur, Eric Randall",1.9671
533,104363,Rex: Final Days of an Empire,3,6,120,120,120,2012,7.15644,3260,14,"Fighting, Negotiation, Political, Science Fiction","Bill Eberle, John Goodenough, Jack Kittredge, Corey Konieczka, Peter Olotka, Christian T. Petersen",3.2673
558,2093,Mahjong,3,4,120,120,120,1850,7.02554,5017,8,Abstract Strategy,(Uncredited),2.5507
563,151007,Pathfinder Adventure Card Game: Skull & Shackles ? Base Set,1,4,120,120,120,2014,7.50804,1628,13,"Card Game, Fantasy, Fighting, Pirates","Chad Brown, Tanis O'Connor, Paul Peterson, Mike Selinker, Gaby Weidling",2.9178
574,177678,Signorie,2,4,120,30,120,2015,7.56947,1365,12,"Dice, Renaissance","Andrea Chiarvesio, Pierluca Zizzi",3.5824
587,203993,Lorenzo il Magnifico,2,4,120,120,120,2016,7.79478,1074,12,Renaissance,"Flaminia Brasini, Virginio Gigli, Simone Luciani",3.2308
589,1634,Warhammer Quest,1,4,120,120,120,1995,7.41129,2006,12,"Adventure, Fantasy","Andy Jones, Gavin Thorpe",2.6914
604,2507,Libert_,3,6,120,120,120,2001,7.1894,2264,12,"Napoleonic, Political",Martin Wallace,3.3228
627,855,Java,2,4,120,120,120,2000,7.03816,2983,12,City Building,"Michael Kiesling, Wolfgang Kramer",3.4011
628,37836,Julius Caesar,2,2,120,120,120,2010,7.78753,1035,12,"Ancient, Civil War, Wargame","Grant Dalgliesh, Justin Thompson",2.4514
670,144041,Patchistory,2,4,120,120,120,2013,7.34978,1538,12,"Bluffing, City Building, Civilization, Economic, Negotiation, Political, Territory Building","Yeon-Min Jung, Jun-Hyup Kim",3.7481
682,212445,Blood Bowl (2016 edition),2,2,120,120,120,2016,8.36777,697,12,"Fantasy, Fighting, Miniatures, Sports",Jervis Johnson,3.3333
688,109125,Wallenstein (second edition),2,5,120,120,120,2012,7.69893,985,12,"Economic, Renaissance, Territory Building",Dirk Henn,3.2143
